DMS_id,n_var,n_wt_rows,wt_score,vmin,q25,median,q75,vmax,mean,wt_pctile,frac_gt_wt,n_gt_wt
4D5_HER2_fitness_1N8Z,2079,1,2.1659343229604437,-3.7256306744646,-0.9833895005628196,-0.901322566277706,-0.8574909967530697,5.117711896627475,-0.44975037792547634,95.18999518999519,0.0481000481000481,100.0
5A12_Ang2_fitness_4ZFG,943,1,-0.0031541794200277,-0.3416140136516299,-0.1422977393985256,-0.0910366297567035,-0.0390076297526942,0.3064205612092379,-0.09139406718698577,87.38069989395547,0.1261930010604454,119.0
5A12_VEGF_fitness_4ZFF,29980,1,-2.8823373952517564,-3.499906279398884,-0.9615544024887122,0.7102661576945364,0.8280968063046972,2.9883959216017657,0.12183986533351991,0.02334889926617745,0.9997665110073383,29973.0
Z-domain_ZpA963_HL1_fitness_2M5A,2903,1,3.1971077637362257,-1.5926432608775896,-0.7668620063410925,-0.5916066541769696,-0.2753703439845367,3.1075746224427125,-0.4087415855421941,100.0,0.0,0.0
Z-domain_ZpA963_HL2_fitness_2M5A,599,1,3.849337661921155,-1.230160571647307,-0.47953927568135235,0.2446265884570682,0.5960787684552107,3.7583063695027175,0.14216414136226957,100.0,0.0,0.0
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0,,-1.2406119898568022,-1.1194176913432683,-1.0945820802483324,-1.0573286636059305,3.630704179656013,-1.0651773190747238,,,
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0,,-1.37529002990176,-1.269591033787496,-1.2362876582088689,-1.1379434626749125,3.593261409488376,-1.1301770370363442,,,
CXCR4_CXCL12_enrich_8U4O,5584,1,0.0,-5.0,-1.483587750375,-0.4483455095,0.231775815,3.3892481885,-0.7647963167909204,65.92048710601719,0.3407951289398281,1903.0
hYAP65_peptide_FunctioncalScore_1JMQ,18406,1,1.0,0.0091056856105361,0.7374227962498621,1.3537191729054823,2.060995557750579,15.55885618826971,1.4965245525859963,35.379767467130286,0.6462023253286971,11894.0
GB1_IgG-Fc_fitness_1FCC,92890,1,0.3301204989720996,-2.302092096664971,-1.6528794400179558,-0.1531122604558992,0.4544458292665707,1.1466838948141147,-0.4636700124077316,65.03391107761868,0.3496608892238131,32480.0
GB1_IgG-Fc_fitness_1FCC_2016,22175,1,0.8432648799807159,-1.9855204634947032,-1.5468248402369746,-1.3455125155364605,-0.05620692780366405,1.7302823902626083,-0.7909666260893453,86.75084554678692,0.13249154453213077,2938.0
SARS2-RBD_ACE2_deltaKd_6M0J,21871,1,-0.0073947034105345,-4.84,-4.74,-1.38,-0.49,0.37,-2.1006674820031095,97.06460609940103,0.029353939005989666,642.0
KRAS_DARPinK27_norfitness_5O2S,19532,1,-0.0199530896045886,-1.97141663017483,-1.0513245425080502,-0.6830726383989125,-0.21889954956420377,0.866621344021052,-0.6253606943316884,89.13577718615605,0.10864222813843949,2122.0
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,1,-0.0049414009126591,-1.74691076598496,-1.0829699159591075,-0.5505050882762139,-0.14069300010103325,0.626598714344478,-0.588006244113681,87.24091240495781,0.12759087595042184,2450.0
KRAS_RAF1_norfitness_6VJJ,12676,1,-0.0087057450745026,-1.85928513061533,-1.2594893296405552,-1.051259358400325,-0.35259973630146274,0.581493770952215,-0.8353485429302794,93.00252445566424,0.06997475544335753,887.0
KRAS_RAF1-RBD_norfitness_6VJJ,23161,1,-0.0088406025020725,-1.45034831532026,-0.852226827492841,-0.348596983244638,-0.0971009522427436,0.257920589356662,-0.45669427397591184,89.96589093735157,0.10034109062648418,2324.0
KRAS_RALGDS-RBD_norfitness_1LFD,20340,1,-0.0004232712327405,-1.60325450300409,-1.0033275689214,-0.4275866875390745,-0.111173440357985,0.281725037576003,-0.5350944017753467,89.960668633235,0.10039331366764995,2042.0
KRAS_SOS1_norfitness_8BE4,19424,1,-0.0199530896045886,-1.97141663017483,-1.0517149083762152,-0.68365382958307,-0.2205814589590275,0.866621344021052,-0.6256968449549436,89.16803953871499,0.10831960461285008,2104.0
BH3_Mcl-1_normed_3KZ0,517,1,-0.1095661593177004,-0.9602807369698936,-0.9243491798448976,-0.858114116648834,-0.6444545097531659,2.038864197629384,-0.6613157656787404,90.52224371373308,0.09477756286266925,49.0
BH3_Bcl-xL_normed_1PQ1,517,1,-0.1008565474484331,-0.9785452363953856,-0.9653661819406868,-0.906705957048281,-0.7024370828350989,1.2802281321737483,-0.7701766862405792,94.58413926499033,0.05415860735009671,28.0
HLA-A2_TAPBPR_meanscore_5WER,3344,0,,-4.515000000000001,-0.47903871875000004,0.19070957825,0.813981701125,4.397626705,0.10397482715312166,,,
PSD95_CRIPT_1BE9,1576,1,0.069078,-1.8809,-0.21008999999999997,-0.0186445,0.05682199999999993,0.33424,-0.17173046376269036,79.25126903553299,0.20748730964467005,327.0
PSD95_Tm2F_1BE9,1576,1,-0.062044,-1.301,-0.368715,-0.101245,0.07864775,0.88297,-0.1700840442576142,54.88578680203046,0.45114213197969544,711.0
ACE2_SARS2-RBD_enrich_6M17,2185,1,0.0,-2.8461636995,-0.7898911289999999,0.1141800627499999,0.48103692825,3.963689952,-0.050925651426201375,44.3020594965675,0.556979405034325,1217.0
CD19_FMC63_Fitness_7URV,3885,1,0.0,-8.74401800682658,-0.5862821776428244,6.31465080230825,8.596685812220622,13.8061946060993,4.271324785859421,29.703989703989702,0.7029601029601029,2731.0
