DMS_id,eta2,sd_iface,sd_noniface,iqr_noniface,iqr_all,iqr_ratio
4D5_HER2_fitness_1N8Z,0.00012815909368701917,1.1884091329448492,1.113605181998215,,0.12589850380974987,
5A12_Ang2_fitness_4ZFG,0.0003453200863885453,0.07836543844791148,0.08053772336502127,0.12210213637891829,0.10329010964583141,1.1821280546374762
5A12_VEGF_fitness_4ZFF,,,0.9617740856214384,1.7896512087934093,1.7896512087934093,1.0
ACE2_SARS2-RBD_enrich_6M17,0.1198119891404581,1.4080652981482473,0.9166388150915106,0.8405896414999999,1.27092805725,0.6613982882074736
BH3_Bcl-xL_normed_1PQ1,,0.3177468946692708,,,0.2629290991055879,
BH3_Mcl-1_normed_3KZ0,,0.49201587537438046,,,0.27989467009173175,
CD19_FMC63_Fitness_7URV,0.05737719561013366,2.883226136108378,4.88062813396052,9.056895686581441,9.182967989863446,0.9862710723350916
CXCR4_CXCL12_enrich_8U4O,0.010987439935466026,1.488829524041629,1.4122418217033992,1.6840283715,1.715363565375,0.9817326224553745
GB1_IgG-Fc_fitness_1FCC,0.06302128798618045,1.0841555411418435,0.7560983621809746,0.9692724639034429,2.1073252692845266,0.4599538941762549
GB1_IgG-Fc_fitness_1FCC_2016,,1.0183287489019501,,,1.4906179124333105,
HLA-A2_TAPBPR_meanscore_5WER,0.01836956099445397,1.40523499193908,1.0006558222558377,1.20437976625,1.293020419875,0.9314468261579588
KRAS_DARPinK27_norfitness_5O2S,0.05146967334483932,0.41351455557476874,0.4711364021892443,0.8828727784841894,0.8324249929438464,1.0606034008685106
KRAS_PICK3CG-RBD_norfitness_1HE8,0.019239141703522367,0.5531697450406621,0.478559222617671,0.9051153802670648,0.9422769158580743,0.9605619802781981
KRAS_RAF1-RBD_norfitness_6VJJ,0.06492527335044485,0.39025970528549025,0.37562060817205956,0.665190823951317,0.7551258752500973,0.8809005832716381
KRAS_RAF1_norfitness_6VJJ,0.06343713502775306,0.46245788634694895,0.5088006830751676,0.9662813270095311,0.9068895933390924,1.0654894863792221
KRAS_RALGDS-RBD_norfitness_1LFD,0.12820160779989132,0.3837768876361966,0.4381097758018084,0.8167526674867395,0.892154128563415,0.9154838175797154
KRAS_SOS1_norfitness_8BE4,0.0324034859049227,0.45402628839961634,0.44568863504284434,0.8425673672305536,0.8311334494171877,1.013757017987164
PSD95_CRIPT_1BE9,0.1580976246173882,0.5503548737738491,0.3201364527823353,0.17914249999999998,0.2669119999999999,0.6711669014506655
PSD95_Tm2F_1BE9,0.034895544842131865,0.5490873926446445,0.338387718946377,0.35914974999999993,0.44736275000000003,0.8028155003964901
SARS2-RBD_ACE2_deltaKd_6M0J,0.05116909412555826,1.7031189170929157,1.8583133345622072,3.8188421052631574,4.25,0.8985510835913312
Z-domain_ZSPA-1_LL1_fitness_1LP1,,0.1400408519061344,,,0.06208902773733782,
Z-domain_ZSPA-1_LL2_fitness_1LP1,,0.35055859382307325,,,0.13164757111258352,
Z-domain_ZpA963_HL1_fitness_2M5A,,0.614846673760911,,,0.4914916623565558,
Z-domain_ZpA963_HL2_fitness_2M5A,,0.7576207208468524,,,1.075618044136563,
hYAP65_peptide_FunctioncalScore_1JMQ,0.000431282123518395,1.1599594564186415,1.1465425584449807,1.2881366448896634,1.3235727615007171,0.9732269221294076
