DMS_id,n_iface,n_noniface,mean_iface,mean_noniface,sd_iface,sd_noniface,median_iface,median_noniface,testable,cliffs_delta,p_mwu,p_welch,P_noniface_gt_iface,overlap_coef,mean_diff,cohens_d,q_BH
CD19_FMC63_Fitness_7URV,136,3749,-1.9783681908100046,4.498040775410512,2.893885049117943,4.881279188206591,-1.8825107740317546,6.559211106801959,True,-0.7004299185665197,6.660457564949359e-44,1.598992784609862e-57,0.8502149592832599,0.39651358009194515,-6.476408966220517,-1.342000631449088,9.687938276289977e-44
PSD95_CRIPT_1BE9,285,1291,-0.5152521736842105,-0.0958949197443842,0.5513229569737054,0.32026051264081196,-0.26569,0.006233,True,-0.5725549349749277,7.851571916842708e-52,3.629534715964345e-29,0.7862774674874639,0.5115305692581551,-0.4193572539398263,-1.1251922298249715,1.2562515066948333e-51
ACE2_SARS2-RBD_enrich_6M17,380,1805,-0.8705180140421054,0.12162010912451522,1.4099216803626244,0.9168928372150211,-1.4329153158749999,0.2067646857499999,True,-0.553961218836565,8.806811053874974e-65,1.2927526496674548e-33,0.7769806094182825,0.40013850415512514,-0.9921381231666206,-0.9729367365262287,1.565655298466662e-64
KRAS_RALGDS-RBD_norfitness_1LFD,5534,14806,-0.8010575275838854,-0.43568605798063825,0.3838115667929688,0.4381245715592568,-0.939013254850595,-0.267728113617154,True,-0.46695938718521257,0.0,0.0,0.7334796935926062,0.6167302143257353,-0.3653714696032471,-0.8616479317362381,0.0
SARS2-RBD_ACE2_deltaKd_6M0J,6763,15108,-2.729507417331291,-1.819171289083829,1.703244845513147,1.8583748385862708,-2.38,-0.89,True,-0.3394829248729958,0.0,1.7707996968572854e-264,0.6697414624364979,0.6606594283688868,-0.9103361282474622,-0.5024409798189609,0.0
KRAS_RAF1_norfitness_6VJJ,4939,7737,-0.9953725343790952,-0.733195448220999,0.46250471041291685,0.5088335672686468,-1.19423170783078,-0.818701717405963,True,-0.31653689553067,4.686085627411543e-199,2.434547576434204e-189,0.658268447765335,0.7345805723977541,-0.2621770861580962,-0.533636428280825,1.2496228339764114e-198
KRAS_RAF1-RBD_norfitness_6VJJ,5953,17208,-0.6266832965357254,-0.39788763454665976,0.39029248782200787,0.3756315227751556,-0.776523018428529,-0.26629363621679447,True,-0.31215639626477454,3.999285632524982e-283,0.0,0.6560781981323873,0.6982587451072461,-0.22879566198906565,-0.6029608973397144,1.5997142530099928e-282
KRAS_DARPinK27_norfitness_5O2S,8974,10558,-0.7379459757940925,-0.5296664041400221,0.4135375970901559,0.4711587155948401,-0.871228001455842,-0.4769890078620975,True,-0.2535968023301345,1.5776949475538315e-205,4.663632763630737e-231,0.6267984011650672,0.7799688460355254,-0.2082795716540704,-0.4674021584286085,5.048623832172261e-205
PSD95_Tm2F_1BE9,304,1272,-0.32101620394736835,-0.1340122073506289,0.5499927310873799,0.33852081146634966,-0.402225,-0.07711599999999995,True,-0.2535325637206223,6.14295805210839e-12,2.829045541146455e-08,0.6267662818603111,0.542473518702415,-0.18700399659673944,-0.4816127266895596,7.0205234881238736e-12
GB1_IgG-Fc_fitness_1FCC,58502,34388,-0.657665862575545,-0.13363787251831025,1.084164807230527,0.7561093560575163,-0.6432723285807969,0.15874425043765455,True,-0.2323467673173264,0.0,0.0,0.6161733836586631,0.636063997708652,-0.5240279900572348,-0.5370988804282648,0.0
KRAS_SOS1_norfitness_8BE4,9949,9475,-0.7060569266582515,-0.5413166388476921,0.4540491078044708,0.44571215609386966,-0.854731610435383,-0.484094308321556,True,-0.217296698651248,1.6230634696296054e-151,2.8666387026654273e-141,0.6086483493256241,0.8017510411276949,-0.16474028781055938,-0.3660881774957414,3.709859359153384e-151
HLA-A2_TAPBPR_meanscore_5WER,412,2932,-0.28244332110679615,0.15827369382538845,1.4069434849614784,1.0008265098173788,-0.256968345,0.224631036,True,-0.21521311540550203,1.403545767318092e-12,1.7188544998234229e-09,0.607606557702751,0.7245791334984554,-0.4407170149321846,-0.4160841251459731,1.7274409443914978e-12
KRAS_PICK3CG-RBD_norfitness_1HE8,3903,15299,-0.7251669950784849,-0.553014518444315,0.5532406233477042,0.4785748635969577,-0.933062863118038,-0.45993269975658,True,-0.20432486959027685,1.0882893063272266e-86,4.714067513421478e-69,0.6021624347951384,0.6966923246596495,-0.17215247663416988,-0.34802010463285715,2.1765786126544533e-86
CXCR4_CXCL12_enrich_8U4O,703,4881,-1.1597603402475107,-0.7079104924741856,1.4898895665568737,1.4123865111993685,-0.879248213,-0.389559785,True,-0.19286092937954613,1.2327427726133405e-16,9.541068768132045e-14,0.5964304646897731,0.8258877063587088,-0.45184984777332515,-0.3176749044897329,1.6436570301511208e-16
5A12_Ang2_fitness_4ZFG,819,124,-0.09196289187470029,-0.08763707187054888,0.07841332445204284,0.08086444975066467,-0.0911940113427363,-0.07967235508663911,True,-0.03617708456418134,0.5158506610126137,0.5780747109812594,0.5180885422820907,0.7658631690889751,-0.0043258200041514094,-0.054939383705390706,0.5158506610126137
hYAP65_peptide_FunctioncalScore_1JMQ,9692,8714,1.4738027985830895,1.5217964414769967,1.1600193021277705,1.1466083514934637,1.3432317508950198,1.3709485280342308,True,-0.03009209945883362,0.00041468755687222814,0.004812433545045904,0.5150460497294168,0.9515786475925809,-0.047993642893907174,-0.041600135108028485,0.0004423333939970433
4D5_HER2_fitness_1N8Z,2076,3,-0.4502617974097295,-0.09584809482235597,1.1886954620980088,1.3638822354074107,-0.901322566277706,-0.8651103936232616,False,,,,,,,,
5A12_VEGF_fitness_4ZFF,0,29980,,0.12183986533351991,,0.961790126284325,,0.7102661576945364,False,,,,,,,,
BH3_Bcl-xL_normed_1PQ1,517,0,-0.7701766862405792,,0.3180546399178401,,-0.906705957048281,,False,,,,,,,,
BH3_Mcl-1_normed_3KZ0,517,0,-0.6613157656787404,,0.4924924041789333,,-0.858114116648834,,False,,,,,,,,
GB1_IgG-Fc_fitness_1FCC_2016,22175,0,-0.7909666260893453,,1.0183517108679474,,-1.3455125155364605,,False,,,,,,,,
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0,-1.0651773190747238,,0.14004239165415022,,-1.0945820802483324,,False,,,,,,,,
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0,-1.1301770370363442,,0.35058999322246653,,-1.2362876582088689,,False,,,,,,,,
