DMS_id,L,kept,dropped,frac_dropped,frac_iface
5A12_Ang2_fitness_4ZFG,652,648,4,0.006134969325153374,0.05555555555555555
ACE2_SARS2-RBD_enrich_6M17,931,931,0,0.0,0.04618689581095596
CD19_FMC63_Fitness_7URV,497,445,52,0.10462776659959759,0.09213483146067415
CXCR4_CXCL12_enrich_8U4O,360,360,0,0.0,0.16944444444444445
GB1_IgG-Fc_fitness_1FCC,262,262,0,0.0,0.13740458015267176
HLA-A2_TAPBPR_meanscore_5WER,644,582,62,0.09627329192546584,0.12371134020618557
KRAS_PICK3CG-RBD_norfitness_1HE8,1107,915,192,0.17344173441734417,0.03825136612021858
KRAS_RAF1-RBD_norfitness_6VJJ,245,245,0,0.0,0.12653061224489795
KRAS_RAF1_norfitness_6VJJ,245,245,0,0.0,0.12653061224489795
KRAS_RALGDS-RBD_norfitness_1LFD,254,254,0,0.0,0.11023622047244094
PSD95_CRIPT_1BE9,120,120,0,0.0,0.16666666666666666
PSD95_Tm2F_1BE9,120,120,0,0.0,0.175
SARS2-RBD_ACE2_deltaKd_6M0J,791,791,0,0.0,0.05436156763590392
hYAP65_peptide_FunctioncalScore_1JMQ,56,56,0,0.0,0.3392857142857143
