DMS_id,pdb,target,f_mean_d,f_median_d,f_std_d,f_frac_iface,f_iface_frac_of_chain,f_L,f_sd_score,f_corr_d_score,f_n,f_mean_nmut,c_star,rho_base,c_plateau_width
5A12_Ang2_fitness_4ZFG,4ZFG.pdb,5A12,4.2543516249643565,3.9946356529726215,1.028876880926387,0.8685047720042418,0.04906542056074766,428.0,4.089240069634745,-0.18539251377404542,943.0,3.537645811240721,-0.09999999999999964,0.1073722869209647,0.19999999999999973
ACE2_SARS2-RBD_enrich_6M17,6M17_BE.pdb,ACE2,14.21932955197112,11.188649337609979,10.074235974755075,0.17391304347826086,0.026737967914438502,748.0,2.0455024778685473,0.27214757673262363,2185.0,1.0,-1.9499999999999997,0.2759523277430326,1.2500000000000004
CD19_FMC63_Fitness_7URV,7URV_hm.pdb,CD19,18.043540875064387,16.75369314509488,7.67159390649684,0.03500643500643501,0.0779816513761468,218.0,3.1264798557408553,0.018813895710770707,3885.0,2.044015444015444,-0.25,0.6031704961466058,0.19999999999999973
CXCR4_CXCL12_enrich_8U4O,8U4O_hm.pdb,CXCR4,16.969905304068643,12.941426582877178,11.290160476963315,0.12589541547277938,0.12542372881355932,295.0,2.0089156122302247,0.08807733079279602,5584.0,1.0,-0.75,0.2014413545172847,0.40000000000000036
GB1_IgG-Fc_fitness_1FCC,1FCC_hm.pdb,GB1,4.9771210133473955,4.099151741519212,2.4804588644769536,0.6297986866185811,0.32142857142857145,56.0,3.272999638611748,-0.054134296881565416,92890.0,1.9887501345677683,-0.44999999999999973,0.5004876730948997,0.20000000000000018
HLA-A2_TAPBPR_meanscore_5WER,5WER_hm.pdb,HLA-A2,13.945741784626303,13.625452689727416,7.083636298934531,0.12320574162679426,0.1320754716981132,265.0,1.9637162235463843,0.11753891420999815,3344.0,1.0,-0.2999999999999998,0.4116190978710198,0.1499999999999999
KRAS_PICK3CG-RBD_norfitness_1HE8,1HE8_hm.pdb,KRAS,9.332424101985382,8.581268729040023,5.466560827332123,0.20326007707530466,0.0963855421686747,166.0,3.084972126474296,-0.12326502584555683,19202.0,1.8625663993334027,-0.5999999999999996,0.5020307593607786,0.1499999999999999
KRAS_RAF1-RBD_norfitness_6VJJ,6VJJ.pdb,KRAS,9.555105513694913,8.308071015584783,5.886106637764995,0.2570268986658607,0.10119047619047619,168.0,3.028124784696555,-0.11572091776810448,23161.0,1.8780277190104053,-0.7999999999999998,0.4412951555623304,0.20000000000000018
KRAS_RAF1_norfitness_6VJJ,6VJJ.pdb,KRAS,6.412573185558678,6.070371734910474,3.245109148000765,0.3896339539286841,0.10119047619047619,168.0,2.9897823273487294,-0.01722495851803449,12676.0,1.9062795834648154,-0.6999999999999997,0.4870952199597719,0.1499999999999999
KRAS_RALGDS-RBD_norfitness_1LFD,1LFD_hm.pdb,KRAS,9.238070748458538,7.88275097919502,5.6996841731720815,0.27207472959685347,0.08982035928143713,167.0,3.234496105728271,0.045133720707505175,20340.0,1.8749262536873157,-0.6499999999999999,0.5871982626093605,0.20000000000000018
PSD95_CRIPT_1BE9,1BE9_hm.pdb,PSD95,8.906343915960754,8.625763386506726,3.6911161785973334,0.18083756345177665,0.13043478260869565,115.0,2.2472026657019306,0.08375071948552196,1576.0,1.0,-2.2,0.3671972647143384,1.15
PSD95_Tm2F_1BE9,1BE9Tm2F_hm.pdb,PSD95,8.975466714131684,8.688751636455034,3.7048177925268955,0.19289340101522842,0.1391304347826087,115.0,2.204647142390562,0.03513762003760003,1576.0,1.0,-0.5499999999999998,0.1943869933716545,0.3500000000000001
SARS2-RBD_ACE2_deltaKd_6M0J,6M0J.pdb,SARS2-RBD,9.839249249314879,7.455097115396953,7.749436272561305,0.30922225778428053,0.10824742268041238,194.0,5.220344028537497,0.2730880287378953,21871.0,2.6592291161812445,-0.2999999999999998,0.6967432722451691,0.1499999999999999
hYAP65_peptide_FunctioncalScore_1JMQ,1JMQ_hm.pdb,hYAP65,5.311612780168833,4.448808716948842,2.5021097656542115,0.5265674236661958,0.2391304347826087,46.0,2.0357998177274044,-0.09313342566718545,18406.0,2.7323155492774096,0.25,0.0886424446497529,0.2999999999999998
